item,experiment,arm,receptor_set,pool_group,enumeration,receptor_slug,receptor_uniprot,receptor_organism,receptor_cluster,panel_tier,ligand_tier,chain_a_source,chain_a_sha256,partner_level,chain_b_construct,chain_b_family_rule,chain_b_len,chain_b_sha256,cognate_evidence_class,supplied_partner_family,supplied_partner_subtype,ligand,ligand_role_actual,ligand_name,ligand_ccd,ligand_inchikey,ligand_is_chain,ligand_identity_source,ligand_identity_status,ligand_must_key_by,ligand_flag,n_shared_draws,n_chains,n_nonpolymer_entities,partner_msa,receptor_msa,backbones,n_pooled,n_percell,predictions_pooled,predictions_percell,blocked_predictions_pooled,blocked_predictions_percell,dispatch_status,pi_choice,note
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,none,none,-,-,-,0,-,RESOLVED_NO_LIGAND,-,,1,1,0,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,full_agonist,full_agonist,"3-(2-aminoethyl)-1H-indole-5-carboxamide [5-carboxamidotryptamine, 5-CT]",8K3,WKZLNEWVIAGNAW-UHFFFAOYSA-N,0,INHERITED:ligand_set_tier3.csv (7UM5),INHERITED_SMILES_PARSED,inchikey,,1,1,1,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,antagonist,neutral_antagonist,"N-[amino(imino)methyl]-5-fluoro-8-(2,4,6-trifluorophenyl)-3,4-dihydro-1H-isoquinoline-2-carboxamide [compound-N6, Zhang 2022 5HT5A antagonist tool]",NN6,YBJHLGWWZWMRCD-UHFFFAOYSA-N,0,INHERITED:ligand_set_tier3.csv (7UM4),INHERITED_SMILES_PARSED,inchikey,,1,1,1,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,cognate,R3_ct21,"Gi1 (Gi/o, STRUCTURE_EXACT)",21,ff6db386f5b9f5497eb2fd7777e0006bb86e2e45592cc1055ccf38003591642f,STRUCTURE_EXACT,Gi/o,Gi1,none,none,-,-,-,0,-,RESOLVED_NO_LIGAND,-,,1,2,0,off,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,cognate,R3_ct21,"Gi1 (Gi/o, STRUCTURE_EXACT)",21,ff6db386f5b9f5497eb2fd7777e0006bb86e2e45592cc1055ccf38003591642f,STRUCTURE_EXACT,Gi/o,Gi1,full_agonist,full_agonist,"3-(2-aminoethyl)-1H-indole-5-carboxamide [5-carboxamidotryptamine, 5-CT]",8K3,WKZLNEWVIAGNAW-UHFFFAOYSA-N,0,INHERITED:ligand_set_tier3.csv (7UM5),INHERITED_SMILES_PARSED,inchikey,,1,2,1,off,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,5HT5A,P47898,Homo sapiens (Human),001_001_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-357,d2f2f70ece4e15359b239d748893980caf60bf73406b2777723aee6e168d8371,cognate,R3_ct21,"Gi1 (Gi/o, STRUCTURE_EXACT)",21,ff6db386f5b9f5497eb2fd7777e0006bb86e2e45592cc1055ccf38003591642f,STRUCTURE_EXACT,Gi/o,Gi1,antagonist,neutral_antagonist,"N-[amino(imino)methyl]-5-fluoro-8-(2,4,6-trifluorophenyl)-3,4-dihydro-1H-isoquinoline-2-carboxamide [compound-N6, Zhang 2022 5HT5A antagonist tool]",NN6,YBJHLGWWZWMRCD-UHFFFAOYSA-N,0,INHERITED:ligand_set_tier3.csv (7UM4),INHERITED_SMILES_PARSED,inchikey,,1,2,1,off,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,AA1R,P30542,Homo sapiens (Human),001_006_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-326,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,none,none,-,-,-,0,-,RESOLVED_NO_LIGAND,-,,1,1,0,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,AA1R,P30542,Homo sapiens (Human),001_006_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-326,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,full_agonist,full_agonist,adenosine,ADN,OIRDTQYFTABQOQ-KQYNXXCUSA-N,0,INHERITED:ligand_set.csv (7LD3),INHERITED_SMILES_PARSED,inchikey,,1,1,1,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,AA1R,P30542,Homo sapiens (Human),001_006_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-326,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,apo,R0_apo,-,0,-,n/a,Gi/o,Gi1,antagonist,neutral_antagonist,"8-cyclopentyl-1,3-dipropyl-3,7-dihydro-1H-purine-2,6-dione [DPCPX / CPX / PD-116948]",-,FFBDFADSZUINTG-UHFFFAOYSA-N,0,INHERITED:ligand_set.csv (no pdb),INHERITED_SMILES_PARSED,inchikey,,1,1,1,n/a,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
G6a/G6b,E2.2,ligand_x_partner,LIG_T1,T1_HEADLINE,per_receptor,AA1R,P30542,Homo sapiens (Human),001_006_001,PRIMARY,T1_small_molecule,seqrec_trimmed.fasta:1-326,1287bf4746a29da750f6c6b98f8c56e324160e07114ae16472b00598f130c4a1,cognate,R3_ct21,"Gi1 (Gi/o, STRUCTURE_EXACT)",21,ff6db386f5b9f5497eb2fd7777e0006bb86e2e45592cc1055ccf38003591642f,STRUCTURE_EXACT,Gi/o,Gi1,none,none,-,-,-,0,-,RESOLVED_NO_LIGAND,-,,1,2,0,off,on (default),boltz2|openfold3|protenix|chai1,10,50,40,200,0,0,READY,,"the 2x2 the paper's second title clause needs, plus the ligand-free level that makes it a crossing rather than two contrasts. The ligand-free cells are the SAME cells as g1_systems.csv's R0_apo and R3_ct21 on these receptors -- run once, read twice; they are enumerated here so the design is legible as a cube and the gate can check it is complete, not so they are dispatched twice"
