metric,backbone,exclusion_set,value,baseline_value,sign_flip,pct_shift_from_baseline
median_tilt_shift,boltz,baseline,5.036307399878147,5.036307399878147,False,0.0
fraction_of_way_to_active,boltz,baseline,0.9471950017465285,0.9471950017465285,False,0.0
apo_active_rate,boltz,baseline,0.1598326359832636,0.1598326359832636,False,0.0
cognate_active_rate,boltz,baseline,0.8341880341880342,0.8341880341880342,False,0.0
tilt_active_rate,boltz,baseline,0.5784355179704017,0.5784355179704017,False,0.0
median_tilt_shift,chai,baseline,1.047307481027726,1.047307481027726,False,0.0
fraction_of_way_to_active,chai,baseline,0.8841178702979391,0.8841178702979391,False,0.0
apo_active_rate,chai,baseline,0.32666666666666666,0.32666666666666666,False,0.0
cognate_active_rate,chai,baseline,0.7497872340425532,0.7497872340425532,False,0.0
tilt_active_rate,chai,baseline,0.5962105263157895,0.5962105263157895,False,0.0
median_tilt_shift,of3,baseline,4.814160360618894,4.814160360618894,False,0.0
fraction_of_way_to_active,of3,baseline,0.9339782025693488,0.9339782025693488,False,0.0
apo_active_rate,of3,baseline,0.24166666666666667,0.24166666666666667,False,0.0
cognate_active_rate,of3,baseline,0.7991489361702128,0.7991489361702128,False,0.0
tilt_active_rate,of3,baseline,0.6075789473684211,0.6075789473684211,False,0.0
median_tilt_shift,protenix,baseline,5.307282224462718,5.307282224462718,False,0.0
fraction_of_way_to_active,protenix,baseline,0.9201264714510232,0.9201264714510232,False,0.0
apo_active_rate,protenix,baseline,0.145,0.145,False,0.0
cognate_active_rate,protenix,baseline,0.8706382978723404,0.8706382978723404,False,0.0
tilt_active_rate,protenix,baseline,0.5671578947368421,0.5671578947368421,False,0.0
median_tilt_shift,boltz,E1,5.036307399878147,5.036307399878147,False,0.0
fraction_of_way_to_active,boltz,E1,0.9471950017465285,0.9471950017465285,False,0.0
apo_active_rate,boltz,E1,0.1598326359832636,0.1598326359832636,False,0.0
cognate_active_rate,boltz,E1,0.8341880341880342,0.8341880341880342,False,0.0
tilt_active_rate,boltz,E1,0.5784355179704017,0.5784355179704017,False,0.0
median_tilt_shift,chai,E1,1.047307481027726,1.047307481027726,False,0.0
fraction_of_way_to_active,chai,E1,0.8841178702979391,0.8841178702979391,False,0.0
apo_active_rate,chai,E1,0.32666666666666666,0.32666666666666666,False,0.0
cognate_active_rate,chai,E1,0.7497872340425532,0.7497872340425532,False,0.0
tilt_active_rate,chai,E1,0.5962105263157895,0.5962105263157895,False,0.0
median_tilt_shift,of3,E1,4.814160360618894,4.814160360618894,False,0.0
fraction_of_way_to_active,of3,E1,0.9339782025693488,0.9339782025693488,False,0.0
apo_active_rate,of3,E1,0.24166666666666667,0.24166666666666667,False,0.0
cognate_active_rate,of3,E1,0.7991489361702128,0.7991489361702128,False,0.0
tilt_active_rate,of3,E1,0.6075789473684211,0.6075789473684211,False,0.0
median_tilt_shift,protenix,E1,5.278610990748296,5.307282224462718,False,-0.540224403033773
fraction_of_way_to_active,protenix,E1,0.9201264714510232,0.9201264714510232,False,0.0
apo_active_rate,protenix,E1,0.145,0.145,False,0.0
cognate_active_rate,protenix,E1,0.8895652173913043,0.8706382978723404,False,2.1739130434782665
tilt_active_rate,protenix,E1,0.563404255319149,0.5671578947368421,False,-0.6618332306623008
median_tilt_shift,boltz,E2,5.036307399878147,5.036307399878147,False,0.0
fraction_of_way_to_active,boltz,E2,0.9471950017465285,0.9471950017465285,False,0.0
apo_active_rate,boltz,E2,0.1598326359832636,0.1598326359832636,False,0.0
