receptor,coupling,active_pdb,inactive_pdb,d_tm6_active,d_tm6_inactive,d_npxxy_active,d_npxxy_inactive,d_y558_pack_active,d_y558_pack_inactive,d_dry_active,d_dry_inactive,d_tm5_active,d_tm5_inactive
5HT1B,Gi,6G79,4IAR,18.185641973820996,16.856777094094824,14.205235232124807,16.898103029630278,2.6534432347423667,6.955416091076077,16.763820954663064,15.682045561724403,8.939739425732725,9.325815674781483
5HT2C,Gq,8DPF,6BQH,13.590861451725567,10.905492423545118,15.23099583087068,18.253156576329477,7.832140639697437,6.039685918986188,16.239751968549264,3.022195559522908,9.834057199345548,8.212981249217606
5HT5A,Gi,7UM5,7UM4,18.626578107639627,9.417260429657873,14.833028180381774,18.0115983188611,3.6482295706273704,10.547321840163976,18.35485725904726,8.106111089788989,9.26869009083807,9.917098970969283
AA1R,Gi,7LD3,5UEN,15.998435235984799,8.47488348002496,13.82273735553128,18.041314309107296,3.6303830376421744,3.8121945123511383,17.95868071435093,4.191506769647403,8.557560750587749,8.033296334631254
AA2AR,Gs,5G53,5NM4,18.300642912203926,7.960470400673568,13.132066821334716,18.240099944901615,3.968700165041447,3.770688266086178,nan,7.686703454667683,8.504479819483379,8.633618302890163
ACM2,Gi,7T94,5ZKC,15.33210451960199,10.085166433926593,14.34187160031774,16.544069058124716,2.6089051343427694,7.349751968604129,17.55847983169387,3.285163770651283,8.686957407516175,8.602278825985572
ACM4,Gi,7TRP,5DSG,14.92512341657516,9.58638649335609,13.905373421810728,18.04415578518431,3.5066953104026557,8.465899479677278,18.002056160339013,4.076750912184853,8.308369334592683,8.699063225428365
ADA2A,unknown,9CBL,6KUX,19.41302946476928,8.839348505404683,13.679626018279887,18.585720701656957,3.621428171315847,4.00673071218918,nan,nan,9.694144882350377,8.804266352172675
ADRB1,Gs,7BU7,7BVQ,16.742501455875704,12.951056095932868,14.162834921017753,18.176702368691632,3.566916455427573,5.470717046238084,19.72036097539799,7.710447068750295,9.099603782583063,7.815578865317654
ADRB2,Gs,4LDE,6PS2,16.825516039634564,10.89984169609816,14.795713805017993,18.38967095953595,3.4346985311668905,4.0144730662940065,18.0653481283921,11.223538880406661,9.056595718038873,7.726725179531104
AGTR1,Gq,6OS2,4ZUD,16.116740054986305,7.639391926063225,14.006499669796163,18.78549440392773,4.217442590006411,2.690521696623167,15.57377959905687,nan,7.9154861505785,8.00157209553223
APJ,Gi,8XZH,8S4D,16.390224220552938,9.433094985210321,13.994997713468912,18.697358690467482,2.8027354495206986,9.917258391309566,nan,nan,8.337104833213983,9.61094667553618
B1B1U5,unknown,9EPP,6I9K,16.64542078170451,7.685323025091398,16.55545849561408,19.391819435009186,3.1143681542168293,4.411275325798648,19.53295993954833,3.710437305763296,9.045091154875122,8.73694260024638
CCKAR,unknown,7MBX,7F8Y,13.562979355584083,9.293248463266224,14.496416419239615,19.334328511743042,3.4123321936763404,3.54379358879718,nan,nan,8.229221226823345,8.416837173190412
CCR5,Gi,7F1S,5UIW,15.997685020027125,9.090919095449074,14.530160460228924,20.461514460078458,3.3611185638117522,5.1028002116484625,nan,nan,8.475178582189299,10.164082644292048
CNR1,Gi,5XRA,5U09,14.176495864634536,6.74703890606835,14.690747087878146,18.20187114007788,3.840372638169361,3.247463009797033,9.638757440666314,4.407975045301411,8.530973859999817,8.435664585555783
CNR2,Gi,8GUR,5ZTY,13.769871204916921,7.755333970887391,14.60590185507214,18.188945159079456,3.1971818840972905,6.422713289568513,15.158579385945119,4.018149947426053,8.085138032216907,8.848142686462507
CRFR1,unknown,6P9X,8GTI,30.982147020501976,17.442339399292173,18.05260992211376,21.837165867344144,nan,nan,nan,nan,14.871553718424984,15.474937778282019
CXCR2,Gi,6LFO,6LFL,14.6572848099503,9.7123452368622,14.297077813315562,19.234637792274636,2.845460419686059,3.63171667397114,nan,nan,7.7625385023199795,8.206387755888715
CXCR4,Gi,8U4N,3ODU,13.700672866687967,9.211326234587505,13.870785450002463,22.927308498818608,2.8209035786428416,4.014671343958305,nan,nan,8.190845011352607,8.57806289321779
DRD2,Gi,7JVR,6CM4,14.915348638231698,8.738139103951138,14.047732236912841,19.383783480012358,3.4080429868181055,3.8371464657998144,14.131714191845235,3.725981615628292,8.477227966735365,8.55972260064542
DRD3,Gi,8IRT,3PBL,13.82293937626872,7.929297699039937,14.01346031499715,19.180692714289545,3.282086683803458,4.188140995716356,15.723288269315674,3.7179783485114566,8.236998603860508,8.898746540946089
EDNRA,Gq,8HCQ,8XVK,13.516492666368752,8.578367793467462,16.751172436578873,19.394390477661336,2.943787696149305,7.052646382741738,nan,nan,8.327286712969599,8.695697154340206
EDNRB,Gq,8IY5,6IGK,13.091081735288347,9.796488401463044,16.024940998331314,16.767445422603892,3.7415785438769102,7.068815247267404,nan,nan,7.633422102831725,8.331259388591862
FSHR,Gs,8I2G,8I2H,17.402455832439273,8.961353580793473,14.897759563102097,15.263418031358514,3.354280399728096,nan,17.30080914292739,nan,8.703941291162286,8.414519415866836
FZD4,unknown,8WMA,6BD4,10.886782812199378,6.794508002791667,19.800183433493746,22.222764746988613,nan,nan,nan,nan,10.514043418209765,9.984684772189857
FZD7,unknown,9EW2,9EPO,11.649757980318737,7.723678527748306,18.585681962198755,22.524393465751746,nan,nan,nan,nan,10.108068955047742,10.08198789921906
GHSR,Gq,7NA7,7F83,14.387945614298104,8.105038741424991,14.005272542867587,17.7988026001751,3.195011424079733,2.9049189317431905,nan,nan,8.439601234655598,9.095993018906732
