receptor_slug,arm,backbone,tip_median,tip_p25,tip_p75,contacts_total_median,plddt_alpha5_median,npxxy_median,tilt_median,active_frac,n_rows,pif_d_5_50_3_40_ca,pif_d_3_40_6_44_ca,pif_sum_ca,n_contacts_TM3,n_contacts_TM5,n_contacts_TM6,contact_register_last5_json,bsa_A2,partner_tail11_helicity_frac,partner_chain_id,n_partner_aa,cell_active_predicate,cell_engaged_20,cell_engaged_but_inactive
5HT1B,apo,boltz,,,,,,12.885061502107819,13.375884789740208,0.0,50,7.39415491358546,7.970792428698668,15.364947342284127,,,,,,,,0,False,False,False
5HT1B,apo,chai,,,,,,13.422839927841732,14.996430953009927,0.0,50,7.490349925070258,8.24172215013343,15.732072075203687,,,,,,,,0,False,False,False
5HT1B,apo,of3,,,,,,6.716957146222006,13.457294984460002,0.16,50,7.090975421064653,8.142593064094974,15.233568485159626,,,,,,,,0,False,False,False
5HT1B,apo,protenix,,,,,,5.550786109697116,14.440691800353875,0.06,50,7.249880537571012,8.059882102413443,15.309762639984456,,,,,,,,0,False,False,False
5HT1B,cognate,boltz,12.939463286479548,12.87427511764519,13.04141715169563,73.0,86.17897548675538,4.691069697046904,17.861786816339567,1.0,50,7.315983662440751,8.36864152522379,15.68462518766454,23.0,34.0,38.0,"{""-5"": [""3.50"", ""8.47""], ""-4"": [""3.50"", ""3.54"", ""6.36"", ""6.40"", ""7.56""], ""-3"": [""6.32"", ""6.33"", ""6.36"", ""7.56""], ""-2"": [""5.61"", ""5.65"", ""5.69"", ""6.29"", ""6.33"", ""6.36"", ""6.37""], ""-1"": [""5.65"", ""5.68"", ""5.69"", ""6.29"", ""6.32"", ""6.33""]}",1673.16796875,0.7272727272727273,B,354,True,True,False
5HT1B,cognate,chai,13.180966693366695,13.098085584254054,13.256926792897763,62.0,86.79201751147514,3.674911349407014,18.40319681273594,1.0,50,7.302805830637976,8.52334376873302,15.826149599370996,21.0,25.0,26.0,"{""-5"": [""3.50"", ""7.56"", ""8.47"", ""8.48"", ""8.49""], ""-4"": [""3.50"", ""3.54"", ""6.36"", ""6.40"", ""7.56""], ""-3"": [""6.32"", ""6.33"", ""6.36"", ""7.56""], ""-2"": [""3.54"", ""5.61"", ""5.65"", ""6.29"", ""6.32"", ""6.33"", ""6.36"", ""6.37""], ""-1"": [""5.65"", ""5.68"", ""5.69"", ""5.72"", ""6.29"", ""6.32""]}",1336.1953125,0.7272727272727273,B,354,True,True,False
5HT1B,cognate,of3,13.172411079118703,13.074037526256209,13.249024028133597,73.0,80.24888744204935,3.9328726234053653,18.191926951083673,1.0,50,7.087183012681044,8.413849718541519,15.501032731222562,27.0,28.0,41.0,"{""-5"": [""3.50"", ""7.56"", ""8.47"", ""8.49""], ""-4"": [""3.50"", ""3.54"", ""6.36"", ""6.40"", ""7.56""], ""-3"": [""6.32"", ""6.33"", ""6.36"", ""7.56""], ""-2"": [""3.54"", ""5.61"", ""5.69"", ""6.29"", ""6.33"", ""6.36"", ""6.37""], ""-1"": [""5.69"", ""5.72"", ""6.29"", ""6.32""]}",1573.0498046875,0.7272727272727273,B,354,True,True,False
5HT1B,cognate,protenix,12.940987500936721,12.910678979174122,12.985150774545316,72.5,85.61557515163614,3.8238121838986494,18.24249704501546,1.0,50,7.240024329441058,8.558723059470845,15.798747388911902,24.0,35.0,37.0,"{""-5"": [""3.50"", ""7.56"", ""8.47"", ""8.49""], ""-4"": [""3.50"", ""3.54"", ""6.36"", ""6.40"", ""7.56""], ""-3"": [""6.32"", ""6.33"", ""6.36"", ""7.56""], ""-2"": [""3.54"", ""5.61"", ""5.65"", ""5.69"", ""6.29"", ""6.33"", ""6.36"", ""6.37""], ""-1"": [""5.69"", ""5.72"", ""6.29"", ""6.32""]}",1202.029296875,0.7272727272727273,B,354,True,True,False
5HT1B,decoy,boltz,28.80181125184066,22.476223624806348,37.85328147370963,43.0,65.34700002670289,12.703066835229908,14.320354541929978,0.22,50,7.29541329459819,8.009362119682192,15.304775414280382,32.0,71.0,28.0,"{""-5"": [""5.69"", ""5.70""], ""-4"": [""5.62"", ""5.65"", ""5.66"", ""5.69"", ""6.31""], ""-3"": [""6.31""], ""-2"": [""6.31""], ""-1"": [""5.69"", ""5.73"", ""6.27"", ""6.28"", ""6.31""]}",3106.291015625,0.1818181818181818,B,354,False,False,False
5HT1B,decoy,chai,16.172340389394932,10.04612636212957,29.687237341216015,20.5,66.3567789358494,13.328715633022755,15.31996754620187,0.12,50,7.114879268125356,8.14944501177841,15.264324279903764,6.0,24.0,19.0,"{""-5"": [""6.26"", ""6.29""], ""-4"": [""3.53"", ""34.50"", ""34.51""], ""-3"": [""3.53"", ""3.54"", ""34.50"", ""5.68""], ""-2"": [""5.65"", ""5.68"", ""5.69"", ""6.26"", ""6.27"", ""6.29"", ""6.30""], ""-1"": []}",2433.294921875,0.8181818181818182,B,354,False,True,True
