row_id,receptor,backbone,arm,plddt_mean,plddt_at_anchors,min_plddt_at_anchor,rmsd_to_active_ref,excl_any
0,5HT1B,chai,apo,74.87415990703285,83.98174691989482,66.59733412000868,2.0209,False
1,5HT1B,chai,apo,74.66614022513572,83.97263848187087,67.38811111450195,1.552,False
2,5HT1B,chai,apo,74.65259326986931,83.90063165972244,67.5618896484375,1.7659,False
3,5HT1B,chai,apo,74.67455215273738,83.91012567833216,67.719665951199,1.6587,False
4,5HT1B,chai,apo,74.65762595174456,83.85347200607669,67.80544577704535,1.4936,False
5,5HT1B,chai,apo,74.69187025953715,83.83034518996014,67.27744505140517,1.8475,False
6,5HT1B,chai,apo,74.70067719804966,83.91552177581951,67.27744420369466,1.4119,False
7,5HT1B,chai,apo,74.59423392497531,83.7331389622874,66.97577794392903,1.5266,False
8,5HT1B,chai,apo,74.78458337611636,84.00519217091377,67.49755562676324,1.5606,False
9,5HT1B,chai,apo,74.80425403970168,84.06230580036774,67.70211029052734,1.5355,False
10,5HT1B,chai,apo,74.69538394023529,83.86347800766751,67.58611170450847,1.5997,False
11,5HT1B,chai,apo,74.72079038605422,83.98290773313971,67.68600040011935,1.4729,False
12,5HT1B,chai,apo,74.77819771731147,84.0473733741174,67.3519999186198,1.6668,False
13,5HT1B,chai,apo,74.76743454758606,83.90616321974503,67.47788874308269,1.5381,False
14,5HT1B,chai,apo,74.71614652646404,83.9367181423388,67.5552224053277,1.5563,False
15,5HT1B,chai,apo,74.76869984951541,84.06856043063544,67.51611116197374,1.4952,False
16,5HT1B,boltz,apo,77.87638962574495,89.69869956970214,72.78199768066406,2.0106,False
17,5HT1B,boltz,apo,76.60559231684758,89.3740005493164,71.99500274658203,1.7434,False
18,5HT1B,boltz,apo,76.71615616235978,89.29905014038086,70.48899841308594,2.0286,False
19,5HT1B,boltz,apo,75.94441273029034,89.6017002105713,71.63899993896484,1.7851,False
20,5HT1B,boltz,apo,77.4566486163017,89.40145072937011,71.822998046875,2.0474,False
21,5HT1B,boltz,apo,77.53161778572279,89.26724967956542,72.53099822998047,2.1081,False
22,5HT1B,boltz,apo,76.76638473119492,89.97095031738282,71.73100280761719,2.2489,False
23,5HT1B,boltz,apo,76.59098971929306,89.53440017700196,72.25299835205078,2.1261,False
24,5HT1B,boltz,apo,76.55323314177684,88.6020492553711,72.5770034790039,2.1987,False
25,5HT1B,chai,apo,74.71293486660309,83.82006959910345,67.15711127387152,1.5529,False
26,5HT1B,chai,apo,74.57915875075577,83.51292316115436,63.84422259860568,1.3431,False
27,5HT1B,chai,apo,74.58661293057715,83.81750373499045,67.3501107957628,1.5159,False
28,5HT1B,boltz,apo,75.89263066511887,89.14404983520508,71.30500030517578,2.1002,False
29,5HT1B,boltz,apo,77.53885375780936,90.17299995422364,72.93199920654297,1.9722,False
30,5HT1B,boltz,apo,76.71316399207483,89.50015029907226,72.2020034790039,1.7983,False
31,5HT1B,boltz,apo,76.80085631150466,89.1180492401123,71.4739990234375,1.9735,False
32,5HT1B,boltz,apo,77.8602283184345,89.81839942932129,72.98999786376953,2.056,False
33,5HT1B,boltz,apo,76.56254871564033,89.54054985046386,71.6729965209961,2.1196,False
34,5HT1B,boltz,apo,76.78783839299129,89.31059913635254,71.30699920654297,1.8986,False
35,5HT1B,boltz,apo,76.18202571379832,88.5928508758545,71.00900268554688,1.8477,False
36,5HT1B,chai,apo,74.7982323146633,83.90226912114528,67.60922114054362,1.4846,False
37,5HT1B,chai,apo,74.67805486833859,83.65053624280432,67.25799984402127,1.6379,False
38,5HT1B,chai,apo,74.57234197182859,83.81147160217704,67.11933178371854,1.653,False
39,5HT1B,chai,apo,74.57742486959417,83.64798361851884,67.09911007351346,1.9775,False
40,5HT1B,boltz,apo,76.50983581542968,89.35950050354003,71.76399993896484,1.936,False
41,5HT1B,boltz,apo,76.4077153915014,87.95444984436035,71.6760025024414,2.1376,False
42,5HT1B,boltz,apo,77.43600759261693,89.75549964904785,73.54299926757812,1.9301,False
43,5HT1B,boltz,apo,77.34082060593825,89.9226001739502,71.56800079345703,2.1538,False
44,5HT1B,protenix,apo,73.19460495621091,82.37447577500583,66.86000061035156,1.6947,False
45,5HT1B,protenix,apo,73.23167065590077,82.37453495408205,66.75909042358398,1.7535,False
46,5HT1B,protenix,apo,73.22506551753598,82.35614306870305,66.75999901511453,1.7614,False
47,5HT1B,protenix,apo,73.15588800848931,82.2694480915331,66.46636408025569,1.8132,False
48,5HT1B,chai,apo,74.87623791139134,84.2541047914995,67.31466632419162,1.7729,False
49,5HT1B,chai,apo,74.68822279421802,83.88135024762946,67.16455417209201,1.3082,False
50,5HT1B,protenix,apo,72.86282991193316,82.08670712876285,66.63636363636364,2.0378,False
51,5HT1B,protenix,apo,73.16478673724315,82.3680803093009,66.80272778597745,1.9165,False
52,5HT1B,boltz,apo,76.70616155771108,89.24185066223144,71.41400146484375,1.9308,False
53,5HT1B,boltz,apo,76.56025130443084,88.79765014648437,71.98999786376953,2.0264,False
54,5HT1B,boltz,apo,75.808020508595,88.43214988708496,70.43499755859375,2.1489,False
55,5HT1B,boltz,apo,77.93862043527456,90.07385025024412,72.0989990234375,1.9642,False
56,5HT1B,protenix,apo,73.16024735402014,82.24834872154962,66.39272689819336,1.8683,False
57,5HT1B,protenix,apo,72.80543404445075,82.2310676835901,65.84999986128373,2.1194,False
58,5HT1B,protenix,apo,72.7701569352182,82.23502252439056,65.60181947187944,1.866,False
